ProductDetailID,ProductName,ProductGroupID,SKU,Price,StockQuantity,Manufacturer,SupplierID,WarrantyPeriod,ProductDescription,ReleaseDate,Status
2850,Both Paper,9,b184e5f7-714b-4868-8770-787d951f9664,4585.63,889,"Mendez, Butler and Roy",168,2 years,Analysis stuff offer accept economy hospital industry perform. Card even senior throw generation someone. Safe those evidence morning per.,2023-12-24,Out of Stock
5652,Practice Boy,62,c7c1f9f5-b902-4754-956c-c36aee5e5cb7,1331.87,305,"Ramos, Thompson and Johnson",184,2 years,War authority pattern left. Number force day management fire level another.,2020-05-31,Discontinued
3210,Maybe Resource,34,eafb472d-6df1-4996-936a-1141e7cf74c1,2253.86,230,"Green, Moore and Lozano",30,1 year,"Well arm team quite. Central us lead light already research into.
Then vote pattern eight want. This what test meeting impact yard must despite. Piece everything street night he growth student.",2022-05-26,Available
2891,Respond Yard,100,2d9107d2-bd23-46c9-8fdd-3b1355c13f40,699.39,470,"Murphy, Padilla and Ortega",176,1 year,"Some thing gas let position. Identify pick event position effort upon work. Professor get hair account will.
Gun out tend per technology hour. President will music dream already she order.",2021-12-11,Out of Stock
518,Never Newspaper,83,b2104564-8494-41f1-8ec8-cb8f53085958,3855.06,989,Brown LLC,10,1 year,"Actually every field after himself.
Light whose production cost. Least exactly together history before window three price.",2023-04-23,Available
405,Good Eye,77,926a1bba-4978-473e-87c7-b77ed1ecb74c,1185.11,305,Arias-Bell,32,3 years,Time condition management sometimes physical relationship. Peace little how now hit today. She provide prevent actually lawyer. Recognize other also recognize.,2024-01-19,Out of Stock
7231,Entire Prepare,45,dde6af8d-63c3-4978-9244-8dab935438e8,1012.76,372,Smith LLC,193,2 years,"Use book space those agency. Style standard reduce officer probably.
Remain begin result born father subject movement. Lot official fine risk although.",2023-09-08,Discontinued
889,Fund Analysis,87,4cd9d938-7e8a-40b8-89fa-74e913257753,1193.55,698,"Owens, Zuniga and Beck",6,1 year,"Mission live feeling play hard strong. Since again garden possible. Each while whose late.
However one body operation. Focus if produce music American.
Lot look share. Trip while issue street.",2023-05-23,Available
6931,World Voice,59,3c774fff-6ea0-4b91-a196-e98ef45e9727,661.6,22,"Mitchell, Williams and Grant",19,6 months,Reach newspaper consumer address cover American. Stuff pick stop home world view. Knowledge before more natural two.,2023-10-25,Discontinued
5951,Major Today,56,ec265b41-49cb-4a77-a889-aa09c0fdbc48,2885.24,949,"Ross, Wagner and Parker",98,3 years,Difficult large son between. Six bit green space president station various. Because radio evening.,2023-07-21,Out of Stock
7427,Town Peace,78,2ca0f73f-bd02-424c-9bae-0d54bf7bbe7a,3579.58,926,"Crosby, Garcia and Joyce",7,6 months,"Seek show gas decide federal. Approach third its theory ever. Entire nature throughout should until.
Poor investment material soon fall. Area enter business herself such. Wall your show within.",2022-12-16,Discontinued
1136,Eye Forward,43,7e6f0ded-52a6-4a6b-821a-3bf2ab178eb8,3347.19,453,"Hunt, Hendricks and Rivera",139,3 years,"Front whatever it oil a product woman who. Many treatment civil. Nearly young use.
Great meeting school leave medical. Scientist plant two forward look. Item place across same.",2021-12-19,Discontinued
3897,Thought Floor,40,d757362a-7079-4c68-8443-b18fd967e0fa,3889.31,317,Lee LLC,63,3 years,Large become idea student. Each detail spend language early. Consumer father various move no south interesting. Really nearly doctor program financial.,2022-08-01,Available
668,Care Husband,17,d1cdf098-ae21-44d9-85d8-b75bfdca88bd,1096.42,226,"Wilson, Gillespie and Love",16,6 months,Another year benefit important real. What off business wonder. Majority audience finish something market significant.,2021-02-10,Discontinued
3857,Later Yes,65,f9a30bd2-92b8-4688-9162-36e367a421c0,1558.12,739,Wong-Lee,33,1 year,"American why in decide improve certainly listen. Stand base season push.
Focus push wish.
Rest feeling claim example husband. End the eye mouth.",2023-07-21,Discontinued
895,Poor Law,35,4e56e25e-1aef-4bee-97ee-14c53af7863b,436.42,154,"Patterson, Ruiz and Carter",134,6 months,"Camera market join soldier seat reason seem. Fact evidence election law.
Hour score impact account apply hundred security. Prepare arm player officer produce have actually.",2021-03-26,Out of Stock
5764,School Pattern,51,41ae1cc3-dcd2-44f7-80de-539c5a273f23,778.4,476,Garcia-Adams,127,6 months,"Next nation why drug organization upon discuss onto.
Three skin everybody writer as knowledge join. Stock figure once ground our clearly. Recently first evidence decision street any.",2022-02-28,Available
7728,True Under,92,48189b02-6d20-4956-9d38-70eba97bf2ba,1113.66,628,"Ferguson, Morris and Evans",176,6 months,"By eye measure become conference. House writer story among water also security.
Check exactly husband west claim. He these war move stage up. Speech near yes moment.",2023-05-13,Out of Stock
9135,War Energy,17,bdbd71be-f39a-4d8a-b346-80a42e860ce1,1932.19,33,Parker-Merritt,162,6 months,"Almost shake after mouth course. Force somebody such want. Lawyer even interesting word likely along guess mother.
Theory commercial than. Exactly wrong rule sit would behavior carry.",2020-06-12,Discontinued
4031,Personal Some,1,44cf8a47-fb93-4083-af9a-f0101c83bf15,798.87,871,Wang Group,8,6 months,"For position argue themselves make. Offer listen station medical human rise Republican. Election section budget parent.
Sometimes recently power. Sister daughter write husband tend address.",2020-07-13,Discontinued
754,Much Before,10,2ab7ccd7-97f6-4af6-b98e-2063d5b0d6c3,4393.93,117,"Perez, Newman and Fernandez",9,6 months,Size serious evidence. Enjoy stop choose final growth serious race. Game movement continue ground four tend ask usually. Evening public relate Democrat more.,2024-01-26,Discontinued
4987,Side Game,37,1a84f3cb-5d4e-4f5f-b111-586f5c09050d,4257.05,89,Gibbs Group,14,3 years,"Share peace sometimes father bill field. Often degree allow energy.
Everybody agent rather rich. Degree sell option. Mouth face brother cost pass individual.",2024-01-21,Out of Stock
7341,Carry Song,53,30ce80a9-751f-4392-865a-5649c148504a,4248.88,17,"Williams, Bishop and Thomas",58,2 years,"Gun then choice performance get. Necessary consumer sit talk billion century.
Market necessary forward course ground capital. Time economy bad southern. Let political drive ahead.",2022-05-23,Discontinued
6820,Any Across,38,bf28e5e8-c0f0-40f6-aacf-a99575d2c410,2993.13,711,"Moore, Simon and Huffman",170,1 year,"Morning never scene sea report long. Way daughter begin man thought international suggest. Continue best gas receive tell pull.
Natural generation significant risk page. Piece travel benefit.",2021-11-07,Available
9849,Edge Clear,3,521f4f53-c967-49b2-8cd3-ff1c0d310dde,1365.7,818,"Walters, Garcia and Young",102,1 year,"Oil cultural high by impact establish benefit task. Word side college source.
Song service build. Land visit note individual. Note discuss experience must if physical station I.",2021-08-29,Discontinued
7534,Sister Call,28,5cdfefb0-85f6-45d9-a4e7-59e5f660f056,1368.04,529,Hill Ltd,149,1 year,"Morning figure note against all. No onto agreement marriage.
Strategy whose movie material necessary should role. Friend size half military activity.",2023-08-08,Discontinued
6213,East Point,33,72528f72-6941-41ff-a2a5-1de40720fcff,205.85,330,"Cannon, Mathews and Martin",2,3 years,Wife lay identify increase. Speak fall last call official. Close there return inside. Expert project energy computer even per easy.,2021-07-09,Available
9685,Dinner All,70,56ef52ad-ff62-4c82-ab1d-ec9ea9549a38,1464.29,392,"Olson, Johnson and Murphy",50,2 years,"Sell politics article activity. Down remain yet choice allow. Nice upon health tonight environmental.
Wide else arm final for. Now record sing six sister have leg.",2024-04-27,Out of Stock
4644,Low Scientist,89,57fb6a3d-1798-4ba8-8740-3d4639d93ab0,1242.05,586,Williams LLC,32,2 years,"Economic analysis five wish. Him shoulder listen natural phone thus another. Live appear assume trouble.
Building sea challenge gas.",2021-03-27,Available
5411,Ball Laugh,7,bcdadff1-bb6f-452e-8266-c4a93603e6ff,1388.75,38,Avila-Chase,29,1 year,Wish peace military model cell ten. Far as ever least hold act spring skill. Size goal probably section ok back big perform.,2021-03-09,Discontinued
4260,On Finally,21,8a894c66-7e39-4ae5-a3d3-27258d291ff6,1011.44,429,Davenport Inc,137,6 months,"Goal top lead cost show price yet scene. Design first under white. Enjoy fast study social.
Produce draw above bring spring.",2020-07-19,Discontinued
348,Analysis Course,44,cbfe08cc-4530-4323-aea2-a8cac02ff794,4320.71,520,Conner-Moore,30,2 years,Far soldier charge just peace red. Color foreign game however him establish. Down name become yard.,2024-05-15,Available
1908,Federal Outside,30,41fdc36d-49d9-4f5e-b901-7522e0733bf4,3855.46,317,Green Inc,37,2 years,Individual raise campaign difficult environmental. Marriage professor house dream himself relationship hand. If security head buy it deal.,2020-01-29,Available
9961,Team Now,92,4929e584-f092-4c51-a13d-31d1eee37da3,2795.73,271,"Keller, Simpson and Perry",137,1 year,"Director body lose. Together full cultural around difficult see.
Executive heavy turn news power. Building ability such ahead.
Spring stock painting majority force. Any new unit represent others.",2021-06-06,Discontinued
9947,Other Subject,2,3ad42a6c-fbd2-404e-9806-870bdf945a06,1673.43,651,Smith-Welch,133,6 months,Do sit condition opportunity claim care middle. Bag so level clearly with family.,2020-12-07,Out of Stock
9893,Old Rest,85,58860c12-d54e-4be3-a58d-15390ede702e,2709.23,366,Perry Ltd,117,6 months,There get strong though. Outside adult whether task pretty consumer cell sell. Religious north fall product plant century.,2022-08-26,Available
9276,Never Authority,3,6461c8a5-7be2-495b-adff-7f9947dbb525,2953.51,859,Hunter LLC,70,6 months,Them produce campaign cup truth major which whether. Amount different keep or call tax lot. Skill director much community often shake.,2020-11-21,Available
5094,Able President,2,814b3ac4-c2de-44ea-b129-5fa62bd20792,2288.69,549,Long-Peters,13,2 years,"Over him power myself age happy. Contain feeling network too state thus. Hope within whose recently set late win.
Move answer president poor community green.",2022-06-29,Available
5486,Center Before,74,a18faa61-f787-46c4-a80d-0d26c6eea805,2649.36,84,"Davis, Lowe and Garner",78,6 months,"Public seven event. Avoid himself inside foot try father international. Recent man themselves discuss how.
Everything reason reason view mother keep ahead.",2020-12-28,Available
2549,Than Toward,44,ca5b8239-0956-4d85-a3d2-c72399f4aa15,4055.16,565,Martinez Group,179,3 years,"Owner past water find all kind study model.
Body owner more ground often strong ready partner. Reveal quite religious blue take keep technology.",2022-09-22,Available
380,Site South,17,eb70b1e4-d094-4ca8-a8c8-e23726f2d5c5,1898.21,53,"Figueroa, Lopez and Hunter",169,2 years,"Coach institution back thing low tree. Head fill else range gun loss. Material space baby majority write.
Wait recognize around beat plan though power great. Stand cell great house fact.",2023-07-01,Out of Stock
